IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.652359999999994,-75.4404
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60918999999998
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.449059999999996,-98.42183
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018
ACT,Waco Regional Airport,Waco,TX,USA,31.611290000000004,-97.23052
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.978120000000004,-124.10862
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717
ADK,Adak Airport,Adak,AK,USA,51.877959999999995,-176.64603
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386
AEX,Alexandria International Airport,Alexandria,LA,USA,31.327370000000002,-92.54856
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64921999999999
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593000000001
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.174319999999994,-149.99618999999998
APN,Alpena County Regional Airport,Alpena,MI,USA,45.078070000000004,-83.56029000000001
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66986999999999
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72426999999999
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323000000001
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.562940000000005,-86.75355
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.477990000000005,-88.91595
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.564440000000005,-116.22278
