School,Diversity Index
"Rutgers University--Newark  Newark, NJ",0.76
"Andrews University  Berrien Springs, MI",0.74
"Stanford University  Stanford, CA",0.74
"University of Houston  Houston, TX",0.74
"University of Nevada--Las Vegas  Las Vegas, NV",0.74
"University of San Francisco  San Francisco, CA",0.74
"San Francisco State University  San Francisco, CA",0.73
"University of Illinois--Chicago  Chicago, IL",0.73
"New Jersey Institute of Technology  Newark, NJ",0.72
"Texas Woman's University  Denton, TX",0.72
